100 150
0 2 5
0 3 10
0 4 6
0 8 7
0 11 2
0 14 7
0 16 5
0 17 9
0 18 5
0 19 10
0 29 2
0 33 7
0 36 3
0 37 4
0 41 8
0 43 4
0 46 10
0 48 6
0 49 10
0 52 6
0 54 3
0 55 2
0 56 7
0 60 1
0 67 6
0 70 8
0 71 3
0 78 4
0 82 1
0 84 8
0 91 2
0 94 2
0 96 10
0 98 1
0 99 1
1 2 2
1 3 3
1 4 2
1 5 9
1 12 8
1 15 3
1 19 2
1 23 8
1 26 2
1 29 3
1 30 3
1 34 7
1 35 1
1 36 9
1 37 5
1 40 6
1 42 6
1 43 9
1 44 8
1 45 6
1 46 4
1 53 3
1 55 2
1 57 4
1 59 6
1 63 5
1 65 2
1 67 6
1 68 7
1 69 7
1 71 6
1 74 1
1 75 10
1 78 6
1 79 2
1 85 6
1 91 9
1 97 2
2 0 5
2 1 2
2 4 2
2 5 2
2 6 7
2 7 4
2 8 4
2 9 7
2 10 5
2 13 7
2 18 2
2 20 3
2 23 5
2 25 4
2 30 7
2 31 9
2 32 8
2 33 3
2 39 1
2 41 1
2 46 2
2 54 6
2 63 7
2 64 5
2 79 5
2 80 4
2 81 4
2 83 2
2 86 8
2 89 7
2 91 5
2 92 7
2 95 5
2 96 6
3 0 10
3 1 3
3 5 5
3 7 8
3 15 10
3 16 3
3 17 5
3 22 1
3 23 10
3 25 4
3 27 2
3 28 7
3 34 8
3 35 2
3 36 4
3 37 1
3 45 1
3 47 4
3 49 2
3 51 3
3 52 10
3 56 9
3 57 2
3 61 5
3 63 6
3 64 2
3 65 3
3 66 7
3 68 3
3 71 10
3 73 5
3 75 6
3 76 5
3 78 9
3 79 6
3 83 4
3 86 9
3 96 10
3 97 9
3 98 1
3 99 9
4 0 6
4 1 2
4 2 2
4 11 10
4 13 10
4 14 2
4 17 7
4 24 9
4 27 10
5 1 9
5 2 2
5 3 5
6 2 7
7 2 4
7 3 8
8 0 7
8 2 4
9 2 7
10 2 5
11 0 2
11 4 10
12 1 8
13 2 7
13 4 10
14 0 7
14 4 2
15 1 3
15 3 10
16 0 5
16 3 3
17 0 9
17 3 5
17 4 7
18 0 5
18 2 2
19 0 10
19 1 2
20 2 3
22 3 1
23 1 8
23 2 5
23 3 10
24 4 9
25 2 4
25 3 4
26 1 2
27 3 2
27 4 10
28 3 7
29 0 2
29 1 3
30 1 3
30 2 7
31 2 9
32 2 8
33 0 7
33 2 3
34 1 7
34 3 8
35 1 1
35 3 2
36 0 3
36 1 9
36 3 4
37 0 4
37 1 5
37 3 1
39 2 1
40 1 6
41 0 8
41 2 1
42 1 6
43 0 4
43 1 9
44 1 8
45 1 6
45 3 1
46 0 10
46 1 4
46 2 2
47 3 4
48 0 6
49 0 10
49 3 2
51 3 3
52 0 6
52 3 10
53 1 3
54 0 3
54 2 6
55 0 2
55 1 2
56 0 7
56 3 9
57 1 4
57 3 2
59 1 6
60 0 1
61 3 5
63 1 5
63 2 7
63 3 6
64 2 5
64 3 2
65 1 2
65 3 3
66 3 7
67 0 6
67 1 6
68 1 7
68 3 3
69 1 7
70 0 8
71 0 3
71 1 6
71 3 10
73 3 5
74 1 1
75 1 10
75 3 6
76 3 5
78 0 4
78 1 6
78 3 9
79 1 2
79 2 5
79 3 6
80 2 4
81 2 4
82 0 1
83 2 2
83 3 4
84 0 8
85 1 6
86 2 8
86 3 9
89 2 7
91 0 2
91 1 9
91 2 5
92 2 7
94 0 2
95 2 5
96 0 10
96 2 6
96 3 10
97 1 2
97 3 9
98 0 1
98 3 1
99 0 1
99 3 9
